Date,Mkt-RF,SMB,HML,RF
1999-04-08,0.062235957721456805,-0.05886675143483346,-0.036791092628976965,0.005434222470737313
1999-04-09,0.0742156603963941,-0.04824044676977896,-0.042178059453383036,0.005424170038474859
1999-04-12,0.08889693160671563,-0.04576587193138043,-0.04857180957957848,0.005414117706717694
1999-04-13,0.08530321236048882,-0.02853214840509623,-0.052658863744221525,0.005414117706717761
1999-04-14,0.07721616798281536,-0.02309573392629991,-0.03899347727813649,0.00541411770671766
1999-04-15,0.07290773415426695,-0.017787540087702676,-0.031029864919319174,0.005414117706717558
1999-04-16,0.056285816425608974,-0.00012934214159726786,-0.01800136822046196,0.0054141177067174
1999-04-19,0.009496205584333561,0.0017929023691089418,0.022923479127708812,0.005414117706717566
1999-04-20,0.01671692153923852,0.0006897166722364303,0.012713838596037962,0.005414117706717543
1999-04-21,0.04484299855084829,0.004586561300315991,-0.0012062773754336392,0.005414117706717702
1999-04-22,0.05347033329813447,-0.0017417012096249327,-0.006407807027559586,0.00541411770671774
1999-04-23,0.046986151756936954,0.012846834702953528,-0.0059109612464952705,0.005414117706717793
1999-04-26,0.05496879095572573,0.02864708222499035,-0.02940189265465114,0.0054141177067177715
1999-04-27,0.046085063272821344,0.029574812833270264,-0.01649318231010845,0.0054141177067177975
1999-04-28,0.03843717047172798,0.030090063965706224,0.003883203533612536,0.005414117706717769
1999-04-29,0.03948135063308716,0.033901397202379384,0.003484679038363014,0.005414117706717578
1999-04-30,0.021621199057086756,0.054005617200643084,0.0017767055157705783,0.005414117706717552
1999-05-03,0.0466751441494878,0.03854266054111258,-0.0015074819749923034,0.005404065374960121
1999-05-04,0.03449351309487339,0.051893414839521895,0.002677816004753258,0.0053940131437080025
1999-05-05,0.07348890332759905,0.03744519236038861,-0.006268451809307014,0.00538396101296005
1999-05-06,0.05575940795874216,0.05151966738487374,0.0068856360728802,0.005373908982715325
1999-05-07,0.04652747758849953,0.04240880083149417,0.013796034059654235,0.005363857052972659
1999-05-10,0.051470873713792054,0.04385415323435061,0.019701444321325486,0.0053538052237313135
1999-05-11,0.04332553158559147,0.046155234534065614,0.029039369635623365,0.005343753494990322
1999-05-12,0.05676476556395056,0.040439674993053225,0.026458512468599704,0.005333701866748487
1999-05-13,0.06838342195354818,0.04262437984005392,0.02574178333271146,0.005323650339004821
1999-05-14,0.0399045322495944,0.05349702954459277,0.026865827924926852,0.005313598911758107
1999-05-17,0.022346509323617352,0.06220712799414471,0.028523734407954107,0.005303547585007779
1999-05-18,0.020911493168561314,0.06592336644674329,0.03397654604380686,0.005293496358752602
1999-05-19,0.024978059562381506,0.07301734065118863,0.03511483087231785,0.005283445232991771
1999-05-20,0.008480436998081313,0.08788594121448447,0.04628100557776574,0.005273394207724032
1999-05-21,-0.0015611883827617939,0.08315646967872344,0.05657884012096362,0.005263343282948339
1999-05-24,-0.02927635317435756,0.0812118440599106,0.06993179236321462,0.005253292458663642
1999-05-25,-0.04359467307034096,0.05906411541063857,0.08302817830364909,0.0052432417348693165
1999-05-26,-0.016038711535591815,0.039699333811159636,0.054776192873741136,0.0052331911115642915
1999-05-27,-0.026311974661813956,0.05281003397731317,0.0453762664098697,0.005223140588747267
1999-05-28,-0.009135559661360867,0.04393129075992326,0.028815850308327184,0.005213090166417372
1999-06-01,0.007934295340371178,0.05816384218918913,0.00107719334697974,0.005213090166417306
1999-06-02,-0.004493381412197983,0.057103345253741916,0.015043341563735053,0.005213090166417241
1999-06-03,-0.027893078581773718,0.04890222520900438,0.035282252545066776,0.005213090166417229
1999-06-04,-0.021370802246653893,0.0525962861752264,0.026527222925235374,0.005213090166417318
1999-06-07,-0.01550547891579779,0.04799568653365402,0.026014164537128053,0.005213090166417111
1999-06-08,-0.03187451366500738,0.043737652330117935,0.045339595889422275,0.0052130901664170825
1999-06-09,-0.031197435195195713,0.051679588811604504,0.034841505088504345,0.0052130901664170426
1999-06-10,-0.034325127091256256,0.05757135121391043,0.02474698257360013,0.005213090166417018
1999-06-11,-0.037720267277273886,0.05282982378493502,0.021287749312330937,0.0052130901664170295
1999-06-14,-0.03791363203819471,0.0331664016836469,0.03450067877389866,0.0052130901664170885
1999-06-15,-0.043433019708005005,0.041224115947765316,0.03192293363591903,0.005223140588747174
1999-06-16,-0.007019191912908278,0.026563350011763045,0.014078112481809485,0.005233191111564294
1999-06-17,-0.010066049781927214,0.03723405594083878,0.007586064947665507,0.005243241734869464
1999-06-18,0.0036538238832091864,0.032503462388064834,-0.003981629384670973,0.005253292458663699
1999-06-21,0.001067343615495653,0.04578058145433686,-0.009073543669091749,0.005263343282948229
1999-06-22,-0.007944966169979417,0.040712512174219735,-0.008281989834778566,0.005273394207723849
1999-06-23,-0.020984132045994027,0.04216921835002854,0.0002173074896863436,0.0052834452329915665
1999-06-24,-0.04004892192368748,0.047686094955357146,0.01027681978466463,0.00529349635875261
1999-06-25,-0.04282639186923407,0.04716340183274929,0.008360742765707967,0.005303547585007768
1999-06-28,-0.009864251470698637,0.04061668214281551,0.0009352581438888674,0.0053135989117582645
1999-06-29,0.0033836956389294184,0.04040855880638692,-0.0005773379544547717,0.005323650339004883
1999-06-30,0.023531962619630743,0.047352215887772296,-0.020963571359363782,0.005333701866748627
1999-07-01,0.020790903009362073,0.04126722855716126,-0.02458491974081962,0.0053437534949904945
1999-07-02,0.031957724409203525,0.03177960005094558,-0.0327571585939785,0.005353805223731706
1999-07-06,0.03704330506856703,0.026455342910660734,-0.0386250664334383,0.005363857052973037
1999-07-07,0.059778525889383,0.02071178783442213,-0.05062320843317953,0.005373908982715703
1999-07-08,0.07963790553737636,0.026941867788184463,-0.0629503329941124,0.005383961012960476
1999-07-09,0.07037565351274865,0.04347023675046003,-0.058138175807796746,0.005394013143708348
1999-07-12,0.08329791208716456,0.037798081875852915,-0.05926739370072364,0.005404065374960527
1999-07-13,0.06281202622872506,0.04101718739297842,-0.05264251619157398,0.005414117706717998
1999-07-14,0.07631145317477546,0.0417432131289303,-0.06487376784467704,0.005414117706718099
1999-07-15,0.08383585162900829,0.047282176842396745,-0.06553118309275259,0.005414117706718017
1999-07-16,0.08773298413586439,0.04528755361063982,-0.06832731958858497,0.005414117706718
1999-07-19,0.05734938122704128,0.04968964698792324,-0.049408187079469194,0.005414117706717852
1999-07-20,0.02658745404011605,0.048642366087007505,-0.038570356629130075,0.005414117706718032
1999-07-21,0.04217802993421506,0.04446866512745731,-0.04822192148157596,0.005414117706718113
1999-07-22,0.026674383123093164,0.038553053649688494,-0.03483813974266683,0.005414117706718104
1999-07-23,0.03581885131285344,0.031010835890394023,-0.040888408120399254,0.005414117706718006
1999-07-26,0.03352167240873218,0.026573939779176325,-0.037544225442994655,0.0054141177067180335
1999-07-27,0.05024330734570393,0.03499188765547856,-0.053743976103855236,0.005414117706717957
1999-07-28,0.04637750925857774,0.04310539190041597,-0.058093274375160396,0.005414117706717763
1999-07-29,0.005345103507288058,0.05579932254709715,-0.04161371697901379,0.0054141177067176475
1999-07-30,-0.00902837692411087,0.06845372912976326,-0.033508970399555006,0.005414117706717583
1999-08-02,-0.013873478653378256,0.05962089451643944,-0.028767474559504732,0.005414117706717756
1999-08-03,-0.02778880867734936,0.04396095469468299,-0.017709613060786843,0.0054141177067179086
1999-08-04,-0.03289176436007667,0.0330669077613753,-0.008203260917406304,0.005414117706717998
1999-08-05,-0.025434590902809136,0.023165308006473772,-0.011177758785293724,0.0054141177067179745
1999-08-06,-0.02237333569133759,0.024486832994460434,-0.013146935806531831,0.005414117706718
1999-08-09,-0.025797083264962085,0.01886171810829733,-0.00574479761126127,0.0054141177067180135
1999-08-10,-0.04879762629565209,0.020693105258881534,-0.0018574840380121075,0.005414117706717949
1999-08-11,-0.04757921750087855,0.013342644808927759,0.0049908351109552275,0.005414117706717951
1999-08-12,-0.06389036082320607,0.0060228335016795495,0.021936338272805785,0.005414117706717942
1999-08-13,-0.048435940126702125,0.00551602099109926,0.01250244873627176,0.005414117706717838
1999-08-16,-0.05287587964958958,0.00400850071974843,0.013724539802941953,0.005414117706717767
1999-08-17,-0.042923114173529286,-0.004904891456217333,0.013420239861035996,0.005414117706717852
1999-08-18,-0.05218638077951292,0.004394128348301483,0.013826827720558996,0.005414117706717774
1999-08-19,-0.059861368598853076,0.004993468454725194,0.02522957974955079,0.005414117706717645
1999-08-20,-0.056588556573884154,-0.002215091988464621,0.023072715276024378,0.005414117706717569
1999-08-23,-0.037674935013617177,-0.017088165247108312,0.012736580011157,0.005414117706717647
1999-08-24,-0.03216820589965033,-0.019735409091330508,0.007273265793314827,0.0054141177067175365
1999-08-25,-0.024942704749189835,-0.02422487257020323,-0.0035707063809366606,0.005414117706717326
1999-08-26,-0.04438002661226761,-0.01731138748413229,0.0033392053034568695,0.005414117706717533
1999-08-27,-0.058360533786630225,-0.009119848382111854,0.008458282881535589,0.005414117706717582
1999-08-30,-0.06747501137853223,-0.00021528386432764874,0.002236329101193934,0.005414117706717546
1999-08-31,-0.047924221578225436,0.0015819921658774081,-0.010944471034320644,0.005414117706717488
1999-09-01,-0.04327161230898566,-0.0016198683485388486,-0.007965388115749237,0.005414117706717467
1999-09-02,-0.03871437766608739,0.0011736405638466515,-0.015924461368782554,0.005414117706717539
1999-09-03,-0.008240234742981906,-0.006250635355757062,-0.02666484724149732,0.005414117706717536
1999-09-07,-0.0014267710091491097,0.007133867092964219,-0.032752419426922474,0.0054141177067174966
1999-09-08,-0.01791823948635161,0.013201547786364908,-0.02291435239390308,0.005414117706717461
1999-09-09,-0.016349262135555875,0.01188806353016004,-0.01889302017629107,0.005414117706717459
1999-09-10,0.005576387899285132,0.00957552125460415,-0.02922970041297855,0.0054141177067175165
1999-09-13,0.006386683135303904,-0.00028906388201308973,-0.030101910924737015,0.005414117706717652
1999-09-14,0.003863904926301471,0.006337522618317011,-0.03589984709535734,0.005414117706717663
1999-09-15,-0.001094197214751635,0.019305528547557314,-0.03176991019807701,0.005414117706717558
1999-09-16,0.011575840872326645,0.014596474182468637,-0.04258117503479816,0.005414117706717557
1999-09-17,0.017506773458182464,0.02063086853496527,-0.04661322062273941,0.005414117706717657
1999-09-20,0.027784619654729732,0.012529016036176073,-0.054698412306573185,0.005414117706717631
1999-09-21,0.012097978206038173,0.022794568196350045,-0.06004705142693512,0.005414117706717683
1999-09-22,0.026945631670210163,0.02106136368485286,-0.0695273038541251,0.0054141177067177915
1999-09-23,-0.01317416913406786,0.033302578905333884,-0.05936380812510426,0.005414117706717714
1999-09-24,-0.013668273796027603,0.026814184360228893,-0.06434370205871426,0.005414117706717637
1999-09-27,-0.030941865322347058,0.04037392812546995,-0.054867741982339215,0.0054141177067177386
1999-09-28,-0.03567793639747208,0.041415343468938846,-0.05914049179254557,0.005414117706717759
1999-09-29,-0.05258246301504645,0.056193882461402715,-0.05424361516089834,0.005414117706717651
1999-09-30,-0.03664102939524917,0.05650932115203317,-0.06116563401925553,0.0054141177067175755
1999-10-01,-0.030621249494271974,0.04831851238055315,-0.06909025379168461,0.005414117706717689
1999-10-04,-0.0232228786161927,0.040008542234249295,-0.07114627371102833,0.005414117706717711
1999-10-05,-0.04098071739921203,0.0498704208754295,-0.06560844328953987,0.005414117706717567
1999-10-06,-0.025281060546893153,0.03768948780666077,-0.06598385170927093,0.005414117706717615
1999-10-07,-0.04146056670518988,0.041218337835209215,-0.05268419133897979,0.0054141177067177715
1999-10-08,-0.01944190131782688,0.02481388720938666,-0.06176117682969327,0.005414117706717732
1999-10-11,-0.007557549046151368,0.02175169431931877,-0.06409580115329805,0.005414117706717617
1999-10-12,-0.006951292203784802,0.014572637387436483,-0.056598821488960914,0.005414117706717762
1999-10-13,-0.025552925816716,0.014977212260285564,-0.0434592659966729,0.005414117706717843
1999-10-14,-0.03309628347712653,0.013959997174837264,-0.0421187684715432,0.00541411770671775
1999-10-15,-0.050553996333450285,0.02628716405628524,-0.03924942878648551,0.0054141177067175816
1999-10-18,-0.07594272163569667,0.022453481565615597,-0.027675292526674947,0.005414117706717648
1999-10-19,-0.06574341392748133,0.013428552491000912,-0.03719455539704309,0.00541411770671782
1999-10-20,-0.043103309629494935,0.004931896296845417,-0.0525518349440947,0.005414117706717964
1999-10-21,-0.047586825176042256,0.006738064457938158,-0.05652992381066957,0.005414117706718157
1999-10-22,-0.03933712921729219,-0.008100819471926892,-0.0459152931192378,0.005414117706718253
1999-10-25,-0.037306742715034084,-0.008891728815515688,-0.045724628709389564,0.005414117706718102
1999-10-26,-0.04050023663244495,-0.004343092631290771,-0.04352473560127255,0.005414117706717978
1999-10-27,-0.019409125545455704,-0.02086975037212913,-0.05206384618513188,0.005414117706717935
1999-10-28,0.015176845176788622,-0.03331757717599461,-0.059642030686499696,0.005414117706717805
1999-10-29,0.02029184410032322,-0.04087356765402578,-0.05755886934072417,0.005414117706717846
1999-11-01,0.016414735092742053,-0.03070479371637094,-0.052627601601311594,0.005404065374960352
1999-11-02,0.03299741660745996,-0.03590621885194846,-0.04780420214854802,0.005394013143708169
1999-11-03,0.03711745815340658,-0.02714610561335921,-0.046171262719164934,0.005383961012960152
1999-11-04,0.06908595327928214,-0.03334447786231326,-0.05893562429062732,0.005373908982715366
1999-11-05,0.07958293989599095,-0.034701867763008085,-0.05742357066426169,0.005363857052972874
1999-11-08,0.08141055491075211,-0.03422166771712368,-0.06186522819171096,0.005353805223731514
1999-11-09,0.07544908547904995,-0.022728905562957494,-0.05201902612610769,0.005343753494990339
1999-11-10,0.08986790890331546,-0.025153414579621766,-0.06306291479913811,0.005333701866748395
1999-11-11,0.08392827999034654,-0.030004362954523953,-0.059183062209174,0.005323650339004723
1999-11-12,0.09760766333157074,-0.035737082836892184,-0.05861772403924473,0.005313598911758146
1999-11-15,0.08000879955790885,-0.017791864190385368,-0.04886197653708582,0.005303547585007909
1999-11-16,0.10087174604121156,-0.026821858044135952,-0.049435239032392546,0.005293496358752828
1999-11-17,0.07438249267447648,-0.006436523558721835,-0.042844707630989354,0.005283445232991925
1999-11-18,0.09165378764362309,-0.003267262070871059,-0.05282707329548762,0.005273394207724003
1999-11-19,0.07869519089644401,0.0058641865500442,-0.04814991181120645,0.005263343282948292
1999-11-22,0.07664996500810638,0.010486539455269164,-0.06372598589451937,0.005253292458663802
1999-11-23,0.08136058247812543,0.009882301939150556,-0.0703292892621054,0.005243241734869324
1999-11-24,0.113483482590532,0.005655589763620376,-0.08824467503084635,0.005233191111564075
1999-11-26,0.11626774815012035,0.017560421183374152,-0.08970290026070492,0.0052231405887470505
1999-11-29,0.1397741568168665,0.009946500536535764,-0.09876509139798005,0.0052130901664172455
1999-11-30,0.12417329164712841,0.021102172259122316,-0.08488190885074495,0.0052030398445734325
1999-12-01,0.12116091780091222,0.02059131465843238,-0.079527101618435,0.005223140287290551
1999-12-02,0.11334603215749348,0.032302176245856545,-0.07579709291260348,0.005243241131944071
1999-12-03,0.13286081136698488,0.01974951348277513,-0.07978672497813485,0.005263342378542061
1999-12-06,0.113515739768279,0.039952778886861266,-0.09148706263610616,0.005283444027092674
1999-12-07,0.11351573976827901,0.04659187892165003,-0.100744637022831,0.005303546077604143
1999-12-08,0.12216331535699868,0.04877466067329915,-0.10443158401103743,0.005323648530084146
1999-12-09,0.11560095678765966,0.057254746872396026,-0.1080170846255463,0.005343751384540873
1999-12-10,0.08525989321261818,0.0867519922373592,-0.10819679308034125,0.00536385464098238
1999-12-13,0.06733758297377784,0.10969221710127282,-0.11034722782022588,0.005383958299416595
1999-12-14,0.057159198072903546,0.09354764505912247,-0.0988592190503369,0.00541411469157891
1999-12-15,0.06638693462676579,0.08142018091669459,-0.1040505346338769,0.005444271988279122
1999-12-16,0.06553967119673167,0.07617680184832762,-0.1052234795532886,0.005474430189544452
1999-12-17,0.06141131363894575,0.07660809202039391,-0.1016274722371157,0.005504589295402202
1999-12-20,0.052249414215730185,0.08861125576228454,-0.1062211156014537,0.005534749305879327
1999-12-21,0.061141073447098786,0.08200770697534157,-0.10198946378653166,0.005564910221002868
1999-12-22,0.07301233520406589,0.07078023299249653,-0.10584589573072219,0.005595072040800159
1999-12-23,0.08123097141322841,0.06076696778146433,-0.10296327117535087,0.005625234765298188
1999-12-27,0.07498294946025759,0.06946699692310059,-0.10368508709071968,0.005655398394524243
1999-12-28,0.06551969698726423,0.08164452318794452,-0.10350566262611964,0.00568556292850526
1999-12-29,0.07201741782263603,0.08411476686119673,-0.10707664186282102,0.005715728367268474
1999-12-30,0.05349080101815978,0.09439280902811055,-0.10285838898992439,0.005745894710840986
1999-12-31,0.06568275453703756,0.09884023743232827,-0.10044118277325223,0.00577606195924998
2000-01-03,0.04629329277150661,0.0986218669558911,-0.1012616154196893,0.005816286163613613
2000-01-04,0.004919196200804333,0.09599148738616438,-0.08017208653964603,0.005856511976671984
2000-01-05,0.0038140061229989812,0.0920678901759515,-0.06542946021313596,0.005896739398489287
2000-01-06,0.00950882775635816,0.08433585784622569,-0.053275181484415304,0.005936968429130094
2000-01-07,0.03292759108489872,0.07988696660518735,-0.0595714166740594,0.005977199068658496
2000-01-10,0.04869511791678442,0.08095764573130809,-0.07275323502264099,0.006017431317139173
2000-01-11,0.03698433742495712,0.0748456939599874,-0.06007293738192507,0.0060576651746361105
2000-01-12,0.043181873477233464,0.07204465276093343,-0.06683233798985706,0.006097900641213885
2000-01-13,0.05460092075382789,0.08095242192492975,-0.07254178908139355,0.006107959608426848
2000-01-14,0.054600920753828025,0.07955403586810599,-0.07029590097100634,0.006118018676209455
2000-01-18,0.035396159425010405,0.1170241789756259,-0.06710877258151396,0.006128077844562722
2000-01-19,0.044338122641574954,0.11591700861287872,-0.06476223060692285,0.006138137113487517
2000-01-20,0.044967431543437734,0.12775198927712494,-0.0676883883432153,0.006148196482984781
2000-01-21,0.0482094241753279,0.13490522290584028,-0.06871815315175264,0.006158255953055738
2000-01-24,0.01800677974993703,0.15083531426405358,-0.05720698169538298,0.006168315523701252
2000-01-25,0.0178042114921018,0.13779144611669794,-0.05093752686333212,0.006178375194922259
2000-01-26,0.012819463229921665,0.12484920909360991,-0.04329073485497958,0.00618843496671976
2000-01-27,0.021955059888223397,0.1300458610588911,-0.061065351106315134,0.006198494839095043
2000-01-28,-0.012198202507086486,0.13872271349781568,-0.046620202661796895,0.006208554812048823
2000-01-31,-0.0034600691230423715,0.09931975990357886,-0.04287090225883335,0.00621861488558231
2000-02-01,0.006677267363389169,0.10130150809369039,-0.043062462170319546,0.006238735233810368
2000-02-02,0.009095227172909044,0.10994388607515482,-0.03775846493353303,0.006258855984364947
2000-02-03,0.009592612438668557,0.12449142475207772,-0.04769538874663171,0.006278977137254177
2000-02-04,0.005768779161217354,0.13560832619510294,-0.0507519331358101,0.006299098692485852
2000-02-07,-0.003663405835852073,0.15750396775259026,-0.05809197141142199,0.0063192206500682895
2000-02-08,0.010714033743227713,0.155322164638771,-0.06833216338721886,0.00633934301000947
2000-02-09,-0.009861324293257347,0.17431470794507722,-0.07150205295439938,0.006359465772317257
2000-02-10,-0.010550013753705244,0.1779211826772245,-0.07679343297655485,0.006379588936999818
2000-02-11,-0.028543608627488695,0.18721839253150563,-0.06783474580155739,0.006399712504065413
2000-02-14,-0.031249615288693522,0.1818272724864466,-0.07367933288500685,0.006419836473521756
2000-02-15,-0.01749255977008213,0.16773273137152175,-0.06014954527322478,0.006429898558848592
2000-02-16,0.018145608793604637,0.19108738599895214,-0.08427660966068454,0.006439960744775142
2000-02-17,0.0237504540026575,0.21284077837797477,-0.09716768374593247,0.006450023031302564
2000-02-18,0.0035373897350519257,0.23318268959512053,-0.1039438299078235,0.006460085418431599
2000-02-22,-0.02660470800914586,0.22488051513743648,-0.08740069509784419,0.006470147906163429
2000-02-23,-0.03157881917104894,0.22306066492675286,-0.08675201565691039,0.0064802104944988205
2000-02-24,-0.014632187458506446,0.23269971047036944,-0.09907239318599068,0.006490273183439187
2000-02-25,-0.018104936772669448,0.26218242889986887,-0.10729677697512428,0.0065003359729853185
2000-02-28,-0.02612711319238286,0.25165588759450835,-0.09945893456891124,0.006510398863138226
2000-02-29,-0.018328427692490035,0.26637244745263444,-0.09438291044569636,0.006520461853898933
2000-03-01,-0.0020886232578860393,0.2457499024770525,-0.09338192692629348,0.006510398762529437
2000-03-02,-0.007354384206445487,0.23314284919273282,-0.08464694749884703,0.0065003357717697725
2000-03-03,0.019247681377904526,0.21088919243994142,-0.08446159707817257,0.006490272881618943
2000-03-06,0.0090785934663221,0.21124694973532454,-0.07673087473745756,0.00648021009207586
2000-03-07,0.013118637111244374,0.2047799401164093,-0.0749895492083739,0.006470147403139561
2000-03-08,0.015134994235557643,0.2078088518725346,-0.08156303955030215,0.0064600848148089925
2000-03-09,0.04460205061704384,0.20418361269732946,-0.08569228954732833,0.006450022327083225
2000-03-10,0.04470697247829507,0.2070727866156275,-0.07823494139037863,0.0064399599399612385
2000-03-13,0.05911227545340235,0.19763307563146693,-0.0845831855956789,0.00642989765344214
2000-03-14,0.019147743286047618,0.2193431818536462,-0.06959594767403317,0.006419835467524522
2000-03-15,0.014519369686367809,0.1620512398891142,-0.059352283800961816,0.006399711498088438
2000-03-16,0.05594692781353676,0.10432663660662722,-0.05548712481477617,0.006379587931043207
2000-03-17,0.04689506233715718,0.09538383745575385,-0.04534444780437852,0.006359464766380652
2000-03-20,0.029507910726554912,0.052274694045550116,-0.017774902274076243,0.006339342004092908
2000-03-21,0.04592258593495043,0.013086533025922862,-0.009623656649794601,0.006319219644171995
2000-03-22,0.04674915717741612,0.029801806307137663,-0.002971423934436077,0.006299097686609612
2000-03-23,0.08204242100808976,0.0015382789824955633,-0.00026836423428834257,0.0062789761313979805
2000-03-24,0.07709323622471782,-0.014783085563885811,0.007271090032421469,0.006258854978528784
2000-03-27,0.0918914844325682,-0.019959185530689226,-0.006401370022511891,0.0062387342279940205
2000-03-28,0.07468090437068216,-0.040562978932860434,0.0054402160533337665,0.006218613879785998
2000-03-29,0.05653832703771154,-0.05976715990171584,0.02785480849359087,0.006198493933896492
2000-03-30,0.04399844345388042,-0.09608595784276708,0.049768044555602305,0.006178374390317375
2000-03-31,0.051584735149295007,-0.11327299343803358,0.06592649951990102,0.006158255249040414
2000-04-03,0.06260740938475157,-0.15645320029649357,0.07865398011118331,0.006178373988022733
2000-04-04,0.04870254766969778,-0.1606346664761063,0.0755383461048861,0.006198493129291266
2000-04-05,0.035961495381731226,-0.15555567775028972,0.0813225705943391,0.00621861267285437
2000-04-06,0.051085020861756446,-0.15187800278453817,0.08306225497136345,0.006238732618719614
2000-04-07,0.07721344801737412,-0.155623757017014,0.08284533883778206,0.006258852966895258
2000-04-10,0.048241153018097865,-0.18149271279923204,0.10147773162290583,0.006278973717389408
2000-04-11,0.017706862860548334,-0.21107634234450318,0.12341688371908811,0.006299094870210017
2000-04-12,-0.026056840878203,-0.23813498484537562,0.15622972253894712,0.00633933878522196
2000-04-13,-0.04272627138664333,-0.23874588192077273,0.1601374571876872,0.006379584309668606
2000-04-14,-0.1271310517590038,-0.24939066583318725,0.1997129529941709,0.006419831443614222
2000-04-17,-0.09449632639395185,-0.2730388874471856,0.176034407869286,0.006460080187123237
2000-04-18,-0.03857360462932481,-0.2533112151085257,0.13688375285649693,0.006500330540260022
2000-04-19,-0.052800691024222975,-0.2390800114642905,0.1455937493501555,0.0065405825030891065
2000-04-20,-0.07462002112849676,-0.24495967419557496,0.16111514197984947,0.006580836075674751
2000-04-24,-0.0800104036507974,-0.26438726011933483,0.1724804320231997,0.006621091258081162
2000-04-25,-0.0312655224800417,-0.25420345399932165,0.15122385196967802,0.0066613480503729125
2000-04-26,-0.02035523349394617,-0.2427354646222753,0.15054124073222197,0.006701606452614517
2000-04-27,-0.021035339946940432,-0.19562984524967592,0.13334178252505782,0.006741866464870221
2000-04-28,-0.06028783183204161,-0.14716074548718486,0.13209747075664025,0.006782128087204216
2000-05-01,-0.0530032413811272,-0.1413019334042114,0.12290634164655828,0.006812325511562096
